Company,Career URL,Scraper Type,Stage,Error,Diagnostic Info
Flipkart,https://www.flipkartcareers.com/#!/joblist,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Swiggy,https://careers.swiggy.com/#/,greenhouse,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Razorpay,https://razorpay.com/jobs/,greenhouse,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
OYO,https://www.oyorooms.com/careers/,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
MakeMyTrip,https://careers.makemytrip.com/,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Cred,https://cred.club/careers,custom,fetch,no_response,No response from https://cred.club/careers
Cred,https://cred.club/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Rivigo,https://www.rivigo.com/careers,custom,fetch,no_response,No response from https://www.rivigo.com/careers
Rivigo,https://www.rivigo.com/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
BigBasket,https://www.bigbasket.com/careers/,custom,fetch,no_response,No response from https://www.bigbasket.com/careers/
BigBasket,https://www.bigbasket.com/careers/,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Practo,https://www.practo.com/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Quikr,https://www.quikr.com/careers,custom,fetch,no_response,No response from https://www.quikr.com/careers
Quikr,https://www.quikr.com/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Delhivery,https://www.delhivery.com/careers/,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Rapido,https://www.rapido.bike/careers,custom,fetch,no_response,No response from https://www.rapido.bike/careers
Rapido,https://www.rapido.bike/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Urban Company,https://www.urbancompany.com/careers,custom,fetch,no_response,No response from https://www.urbancompany.com/careers
Urban Company,https://www.urbancompany.com/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Meesho,https://careers.meesho.com/,custom,fetch,no_response,No response from https://careers.meesho.com/
Meesho,https://careers.meesho.com/,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
NoBroker,https://www.nobroker.in/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
Lenskart,https://www.lenskart.com/careers,custom,result,zero_jobs,Scraper ran successfully but found 0 jobs matching criteria
InfoEdge,https://www.infoedge.in/careers,custom,fetch,no_response,No response from https://www.infoedge.in/careers
