Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Applied,Applied Date,Status,Notes
Machine Learning Engineer III,Expedia,,,https://careers.expediagroup.com/job/machine-learning-engineer-iii/bangalore-Bangalore/R-101745/,,Expedia,,25,None,Unknown,,,,0.0,No,,Not Applied,
Software Development Engineer-III (Full Stack),Expedia,,,https://careers.expediagroup.com/job/software-development-engineer-iii-full-stack/bangalore-Bangalore/R-101742/,,Expedia,,25,None,Unknown,,,,0.0,No,,Not Applied,
Senior Financial Analyst - Multiple RolesRemote - Americas,Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-financial-analyst-multiple-roles_40ef1cb0-5c56-4963-84fe-946708e5d74a,,Shopify,,25,None,Unknown,,,,0.0,No,,Not Applied,
GCR Revenue Marketing Lead - Growth ProgramsRemote - Singapore,Shopify,Remote - Singapore,,https://www.shopify.com/careers/gcr-revenue-marketing-lead-growth-programs_ac97a178-0b1d-4b8d-99b5-4a82092b2b08,,Shopify,,25,None,Unknown,,,,0.0,No,,Not Applied,
"AGC, PartnershipsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/agc-partnerships_5de9add2-829e-4307-8d9e-20ee3353d237,,Shopify,,25,None,Unknown,,,,0.0,No,,Not Applied,
"Senior Product Partnerships Manager, Shipping & LogisticsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-product-partnerships-manager-shipping-logistics_a49fc193-1aca-4a52-8cde-3bc591fb1109,,Shopify,,25,None,Unknown,,,,0.0,No,,Not Applied,
Senior Software Engineer - Data Governance & Machine Learning,Bloomberg,,,https://bloomberg.avature.net/careers/JobDetail/Senior-Software-Engineer-Data-Governance-Machine-Learning/17312,,Bloomberg,,0,None,Unknown,,,,0.0,No,,Not Applied,
All locationsIndiaPoland (Remote)Puerto RicoUnited States (Relocate)United States (Remote)All locationsIndiaPoland (Remote)Puerto RicoUnited States (Relocate)United States (Remote)All departmentsBrand & Visual DesignBusiness DevelopmentBusiness IntelligenceBusiness OperationsContent & WritingCorporate CommunicationsCustomer SupportData Engineering & AnalyticsEngineering & DevelopmentFinance & LegalGeneral and Administrative (G&A)Information TechnologiesLocalizationMarketingPeople & CultureProductProduct DesignProduct TechnologyQuality AssuranceUniversityUser ResearchAll DepartmentsBrand & Visual DesignBusiness DevelopmentBusiness IntelligenceBusiness OperationsContent & WritingCorporate CommunicationsCustomer SupportData Engineering & AnalyticsEngineering & DevelopmentFinance & LegalGeneral and Administrative (G&A)Information TechnologiesLocalizationMarketingPeople & CultureProductProduct DesignProduct TechnologyQuality AssuranceUniversityUser ResearchSearch,Bold,Puerto Rico,,https://www.bold.com/bold-jobs/,,Bold,,0,None,Unknown,,,,0.0,No,,Not Applied,
Angular Software Developer,DealHub.io,,,https://dealhub.io/careers/13.94D/angular-software-developer/,,DealHub.io,,0,None,Unknown,,,,0.0,No,,Not Applied,
Java Software Developer,DealHub.io,,,https://dealhub.io/careers/D2.A48/java-software-developer/,,DealHub.io,,0,None,Unknown,,,,1.2,No,,Not Applied,
Angular Software DeveloperR&DGlobal,DealHub.io,Global,,https://dealhub.io/careers/#,,DealHub.io,,0,None,Unknown,,,,0.0,No,,Not Applied,
SDE 3 Backend,AngelOne,,,https://www.angelone.in/careers/sde-3-backend-6065,,AngelOne,,0,None,Unknown,,,,0.0,No,,Not Applied,
SDE 2 Backend,AngelOne,,,https://www.angelone.in/careers/sde-2-backend-6001,,AngelOne,,0,None,Unknown,,,,0.0,No,,Not Applied,
SDE 3 Backend,AngelOne,,,https://www.angelone.in/careers,,AngelOne,,0,None,Unknown,,,,0.0,No,,Not Applied,
