Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Software Engineer III,IndeedRemote,IndeedRemote,,https://in.indeed.com/viewjob?jk=3e09234960611d78,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
Software Engineer II,IndeedRemote,IndeedRemote,,https://in.indeed.com/viewjob?jk=551c356360f7dd11,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
"Software Development Engineer 2, Finance Automation","ADCI - MaharashtraPune, Maharashtra","ADCI - MaharashtraPune, Maharashtra",,https://in.indeed.com/viewjob?jk=1f2d838e3dad1f69,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
Software Engineer lll,Dynatron SoftwareRemote,Dynatron SoftwareRemote,,https://in.indeed.com/viewjob?jk=33f445667f17b1b0,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
"Python Backend Engineer, Associate","BlackRock InvestmentsHybrid remote in Gurugram, Haryana","BlackRock InvestmentsHybrid remote in Gurugram, Haryana",,https://in.indeed.com/viewjob?jk=55c8b2003a4b983c,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
SDE II,"Amazon Dev Center India - HyderabadDelhi, Delhi","Amazon Dev Center India - HyderabadDelhi, Delhi",,https://in.indeed.com/viewjob?jk=0c85d5945fffc548,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
SDE 3 – Senior Spring boot Developer,"RIA AdvisoryRemote in Pune, Maharashtra","RIA AdvisoryRemote in Pune, Maharashtra",,https://in.indeed.com/viewjob?jk=f504b54acbb122e5,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
"SDE II (iOS), Amazon","ADCI - KarnatakaBengaluru, Karnataka","ADCI - KarnatakaBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=f8fd43d5da006db5,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
Software Development Engineer,"ADCI - KarnatakaChennai, Tamil Nadu","ADCI - KarnatakaChennai, Tamil Nadu",,https://in.indeed.com/viewjob?jk=0519b5e6cfeb3da5,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
Software Development Engineer,"AWS India - KarnatakaChennai, Tamil Nadu","AWS India - KarnatakaChennai, Tamil Nadu",,https://in.indeed.com/viewjob?jk=3f1d4f2bc612f726,,Indeed,,,,,,,,,Yes,No,,Selenium,Login required,Needs Manual Check,
.Net Engineer- SDE II (5-7 Years),"ByteridgeHyderabad, Telangana","ByteridgeHyderabad, Telangana",,https://in.indeed.com/viewjob?jk=111551b8864e887a,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
"Software Development Engineer II, FGBS","ADCI HYD 13 SEZBengaluru, Karnataka","ADCI HYD 13 SEZBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=1bf62b0aad4fdd12,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
SDE-2 IOS,"Locus.shBengaluru, Karnataka","Locus.shBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=0848f0680e804b3c,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
SDE-2 Android,"Locus.shBengaluru, Karnataka","Locus.shBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=717d2fb7d409c1f8,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
Software Developer,"Uttam Innovative Solution Pvt. Ltd.CBD Belapur, Navi Mumbai, Maharashtra","Uttam Innovative Solution Pvt. Ltd.CBD Belapur, Navi Mumbai, Maharashtra",,https://in.indeed.com/viewjob?jk=62abb57fcb8b3f97,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
Software Developer,"EmersonRemote in Pune, Maharashtra","EmersonRemote in Pune, Maharashtra",,https://in.indeed.com/viewjob?jk=2a2239da2f5e09fa,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
Software Developer,"EmersonRemote in Pune, Maharashtra","EmersonRemote in Pune, Maharashtra",,https://in.indeed.com/viewjob?jk=890abcdef0123456,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
Staff Software Developer,"Kaseya CareersPune, Maharashtra","Kaseya CareersPune, Maharashtra",,https://in.indeed.com/viewjob?jk=4d2df5803d80376f,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
AES - DE- Python Backend Engineer,"Zensar TechnologiesGurugram, Haryana","Zensar TechnologiesGurugram, Haryana",,https://in.indeed.com/viewjob?jk=c8a8bee94e9ca836,,Indeed,,,,,,,,,Yes,No,,,,Not Applied,
